"Mois/Année","Jour","Groupe de produits","Produit","Prix TVA incl."
"JUL25","29JUL25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.65
"JUL25","29JUL25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.739
"JUL25","29JUL25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.74
"JUL25","29JUL25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.752
"JUL25","29JUL25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.663
"JUL25","29JUL25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"JUL25","30JUL25","Essences","Essence 95 RON E5 (€/L)",1.643
"JUL25","30JUL25","Essences","Essence 95 RON E10 (€/L)",1.627
"JUL25","30JUL25","Essences","Essence 98 RON E5 (€/L)",1.708
"JUL25","30JUL25","Essences","Essence 98 RON E10 (€/L)",1.709
"JUL25","30JUL25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"JUL25","30JUL25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"JUL25","30JUL25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"JUL25","30JUL25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"JUL25","30JUL25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"JUL25","30JUL25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.811
"JUL25","30JUL25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.851
"JUL25","30JUL25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.788
"JUL25","30JUL25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.828
"JUL25","30JUL25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.816
"JUL25","30JUL25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.856
"JUL25","30JUL25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.966
"JUL25","30JUL25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.811
"JUL25","30JUL25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.851
"JUL25","30JUL25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.968
"JUL25","30JUL25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.899
"JUL25","30JUL25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.859
"JUL25","30JUL25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.012
"JUL25","30JUL25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.93
"JUL25","30JUL25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.89
"JUL25","30JUL25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.043
"JUL25","30JUL25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.65
"JUL25","30JUL25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.739
"JUL25","30JUL25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.74
"JUL25","30JUL25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.752
"JUL25","30JUL25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.663
"JUL25","30JUL25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"JUL25","31JUL25","Essences","Essence 95 RON E5 (€/L)",1.643
"JUL25","31JUL25","Essences","Essence 95 RON E10 (€/L)",1.627
"JUL25","31JUL25","Essences","Essence 98 RON E5 (€/L)",1.708
"JUL25","31JUL25","Essences","Essence 98 RON E10 (€/L)",1.709
"JUL25","31JUL25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"JUL25","31JUL25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"JUL25","31JUL25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"JUL25","31JUL25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"JUL25","31JUL25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"JUL25","31JUL25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.817
"JUL25","31JUL25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.857
"JUL25","31JUL25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.795
"JUL25","31JUL25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.834
"JUL25","31JUL25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.822
"JUL25","31JUL25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.862
"JUL25","31JUL25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.972
"JUL25","31JUL25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.817
"JUL25","31JUL25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.857
"JUL25","31JUL25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.974
"JUL25","31JUL25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"JUL25","31JUL25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"JUL25","31JUL25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"JUL25","31JUL25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"JUL25","31JUL25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"JUL25","31JUL25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"JUL25","31JUL25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.65
"JUL25","31JUL25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.739
"JUL25","31JUL25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.74
"JUL25","31JUL25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.752
"JUL25","31JUL25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.663
"JUL25","31JUL25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","01AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","01AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","01AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","01AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","01AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","01AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","01AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","01AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","01AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","01AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.807
"AUG25","01AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.847
"AUG25","01AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.784
"AUG25","01AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.824
"AUG25","01AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.812
"AUG25","01AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.852
"AUG25","01AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.962
"AUG25","01AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.807
"AUG25","01AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.847
"AUG25","01AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.964
"AUG25","01AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","01AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","01AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","01AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","01AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","01AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","01AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.65
"AUG25","01AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.739
"AUG25","01AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.74
"AUG25","01AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.752
"AUG25","01AUG25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.663
"AUG25","01AUG25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","02AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","02AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","02AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","02AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","02AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","02AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","02AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","02AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","02AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","02AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.811
"AUG25","02AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.851
"AUG25","02AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.788
"AUG25","02AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.828
"AUG25","02AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.816
"AUG25","02AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.856
"AUG25","02AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.966
"AUG25","02AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.811
"AUG25","02AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.851
"AUG25","02AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.968
"AUG25","02AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","02AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","02AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","02AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","02AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","02AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","02AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.669
"AUG25","02AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.758
"AUG25","02AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.769
"AUG25","02AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.778
"AUG25","02AUG25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.689
"AUG25","02AUG25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","03AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","03AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","03AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","03AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","03AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","03AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","03AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","03AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","03AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","03AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.811
"AUG25","03AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.851
"AUG25","03AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.788
"AUG25","03AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.828
"AUG25","03AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.816
"AUG25","03AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.856
"AUG25","03AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.966
"AUG25","03AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.811
"AUG25","03AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.851
"AUG25","03AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.968
"AUG25","03AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","03AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","03AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","03AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","03AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","03AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","03AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.669
"AUG25","03AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.758
"AUG25","03AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.769
"AUG25","03AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.778
"AUG25","03AUG25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.689
"AUG25","03AUG25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","04AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","04AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","04AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","04AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","04AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","04AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","04AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","04AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","04AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","04AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.811
"AUG25","04AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.851
"AUG25","04AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.788
"AUG25","04AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.828
"AUG25","04AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.816
"AUG25","04AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.856
"AUG25","04AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.966
"AUG25","04AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.811
"AUG25","04AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.851
"AUG25","04AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.968
"AUG25","04AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","04AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","04AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","04AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","04AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","04AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","04AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.669
"AUG25","04AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.758
"AUG25","04AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.769
"AUG25","04AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.778
"AUG25","04AUG25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.689
"AUG25","04AUG25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","05AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","05AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","05AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","05AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","05AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","05AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","05AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","05AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","05AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","05AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.791
"AUG25","05AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.831
"AUG25","05AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.769
"AUG25","05AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.808
"AUG25","05AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.796
"AUG25","05AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.836
"AUG25","05AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.946
"AUG25","05AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.791
"AUG25","05AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.831
"AUG25","05AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.948
"AUG25","05AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","05AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","05AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","05AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","05AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","05AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","05AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.669
"AUG25","05AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.758
"AUG25","05AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.769
"AUG25","05AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.778
"AUG25","05AUG25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.689
"AUG25","05AUG25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","06AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","06AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","06AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","06AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","06AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","06AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","06AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","06AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","06AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","06AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.787
"AUG25","06AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.827
"AUG25","06AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.764
"AUG25","06AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.804
"AUG25","06AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.792
"AUG25","06AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.832
"AUG25","06AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.942
"AUG25","06AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.787
"AUG25","06AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.827
"AUG25","06AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.944
"AUG25","06AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","06AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","06AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","06AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","06AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","06AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","06AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.669
"AUG25","06AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.758
"AUG25","06AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.769
"AUG25","06AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.778
"AUG25","06AUG25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.689
"AUG25","06AUG25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"AUG25","07AUG25","Essences","Essence 95 RON E5 (€/L)",1.643
"AUG25","07AUG25","Essences","Essence 95 RON E10 (€/L)",1.627
"AUG25","07AUG25","Essences","Essence 98 RON E5 (€/L)",1.708
"AUG25","07AUG25","Essences","Essence 98 RON E10 (€/L)",1.709
"AUG25","07AUG25","Gasoil Diesel routier","Diesel B7 (€/L)",1.742
"AUG25","07AUG25","Gasoil Diesel routier","Diesel B10 (€/L)",1.738
"AUG25","07AUG25","Gasoil Diesel routier","Diesel B20 (€/L)",1.756
"AUG25","07AUG25","Gasoil Diesel routier","Diesel B30 (€/L)",1.818
"AUG25","07AUG25","Gasoil Diesel routier","Diesel XTL (€/L)",2.745
"AUG25","07AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.77
"AUG25","07AUG25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.81
"AUG25","07AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.748
"AUG25","07AUG25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.787
"AUG25","07AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.775
"AUG25","07AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.815
"AUG25","07AUG25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.925
"AUG25","07AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.77
"AUG25","07AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.81
"AUG25","07AUG25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.927
"AUG25","07AUG25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.89
"AUG25","07AUG25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.85
"AUG25","07AUG25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",1.003
"AUG25","07AUG25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.921
"AUG25","07AUG25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.881
"AUG25","07AUG25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",1.034
"AUG25","07AUG25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.669
"AUG25","07AUG25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.758
"AUG25","07AUG25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.769
"AUG25","07AUG25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.778
