"Mois/Année","Jour","Groupe de produits","Produit","Prix TVA incl."
"APR25","12APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.71
"APR25","12APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","13APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","13APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","13APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","13APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","13APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","13APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","13APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","13APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","13APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","13APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.73
"APR25","13APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.769
"APR25","13APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.707
"APR25","13APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.747
"APR25","13APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.734
"APR25","13APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.774
"APR25","13APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.884
"APR25","13APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.73
"APR25","13APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.769
"APR25","13APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.886
"APR25","13APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.819
"APR25","13APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.779
"APR25","13APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",0.932
"APR25","13APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.847
"APR25","13APR25","Pétrole lampant","Petrole lampant type C (à partir de 2000 l) (€/L)",0.807
"APR25","13APR25","Pétrole lampant","Petrole lampant type C (à la pompe) (€/L)",0.96
"APR25","13APR25","Propane","Propane en vrac (à partir de 2000 l) (€/L)",0.704
"APR25","13APR25","Propane","Propane en vrac (moins de 2000 l) (€/L)",0.793
"APR25","13APR25","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.756
"APR25","13APR25","Butane + LPG","Autogas LPG (moins de 2000 l) (€/L)",0.799
"APR25","13APR25","Butane + LPG","Autogas LPG (à partir de 2000 l) (€/L)",0.71
"APR25","13APR25","Fuel Oil","Fuel oil extra lourd 1% S (en camion citerne) (€/T)",
"APR25","14APR25","Essences","Essence 95 RON E5 (€/L)",1.622
"APR25","14APR25","Essences","Essence 95 RON E10 (€/L)",1.616
"APR25","14APR25","Essences","Essence 98 RON E5 (€/L)",1.683
"APR25","14APR25","Essences","Essence 98 RON E10 (€/L)",1.688
"APR25","14APR25","Gasoil Diesel routier","Diesel B7 (€/L)",1.663
"APR25","14APR25","Gasoil Diesel routier","Diesel B10 (€/L)",1.661
"APR25","14APR25","Gasoil Diesel routier","Diesel B20 (€/L)",1.686
"APR25","14APR25","Gasoil Diesel routier","Diesel B30 (€/L)",1.756
"APR25","14APR25","Gasoil Diesel routier","Diesel XTL (€/L)",2.511
"APR25","14APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.73
"APR25","14APR25","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.769
"APR25","14APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (à partir de 2000 l) (€/L)",0.707
"APR25","14APR25","Gasoil Diesel (application agriculture)","Gasoil Diesel Agriculture (moins de 2000 l) (€/L)",0.747
"APR25","14APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à partir de 2000 l) (€/L)",0.734
"APR25","14APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (moins de 2000 l) (€/L)",0.774
"APR25","14APR25","Gasoil Diesel (application I&C)","Gasoil Diesel I&C (à la pompe) (€/L)",0.884
"APR25","14APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",0.73
"APR25","14APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",0.769
"APR25","14APR25","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",0.886
"APR25","14APR25","Pétrole lampant","Petrole lampant type B (moins de 2000 l) (€/L)",0.819
"APR25","14APR25","Pétrole lampant","Petrole lampant type B (à partir de 2000 l) (€/L)",0.779
"APR25","14APR25","Pétrole lampant","Petrole lampant type B (à la pompe) (€/L)",0.932
"APR25","14APR25","Pétrole lampant","Petrole lampant type C (moins de 2000 l) (€/L)",0.847
