"Année","Groupe de produits","Produit","Prix moyen TVA incl."
"2011","Essences","Essence 95 RON E5 (€/L)",1.605
"2011","Essences","Essence 95 RON E10 (€/L)",
"2011","Essences","Essence 98 RON E5 (€/L)",1.633
"2011","Essences","Essence 98 RON E10 (€/L)",
"2011","Gasoil Diesel routier","Diesel B7 (€/L)",1.44
"2011","Gasoil Diesel routier","Diesel B10 (€/L)",
"2011","Gasoil Diesel routier","Diesel B20 (€/L)",
"2011","Gasoil Diesel routier","Diesel B30 (€/L)",
"2011","Gasoil Diesel routier","Diesel XTL (€/L)",
"2011","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.831
"2011","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.857
"2011","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2011","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2011","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2011","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.661
"2012","Essences","Essence 95 RON E5 (€/L)",1.708
"2012","Essences","Essence 95 RON E10 (€/L)",
"2012","Essences","Essence 98 RON E5 (€/L)",1.74
"2012","Essences","Essence 98 RON E10 (€/L)",
"2012","Gasoil Diesel routier","Diesel B7 (€/L)",1.532
"2012","Gasoil Diesel routier","Diesel B10 (€/L)",
"2012","Gasoil Diesel routier","Diesel B20 (€/L)",
"2012","Gasoil Diesel routier","Diesel B30 (€/L)",
"2012","Gasoil Diesel routier","Diesel XTL (€/L)",
"2012","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.914
"2012","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.94
"2012","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2012","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2012","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2012","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.718
"2013","Essences","Essence 95 RON E5 (€/L)",1.651
"2013","Essences","Essence 95 RON E10 (€/L)",
"2013","Essences","Essence 98 RON E5 (€/L)",1.705
"2013","Essences","Essence 98 RON E10 (€/L)",
"2013","Gasoil Diesel routier","Diesel B7 (€/L)",1.476
"2013","Gasoil Diesel routier","Diesel B10 (€/L)",
"2013","Gasoil Diesel routier","Diesel B20 (€/L)",
"2013","Gasoil Diesel routier","Diesel B30 (€/L)",
"2013","Gasoil Diesel routier","Diesel XTL (€/L)",
"2013","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.857
"2013","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.884
"2013","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2013","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2013","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2013","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.672
"2014","Essences","Essence 95 RON E5 (€/L)",1.596
"2014","Essences","Essence 95 RON E10 (€/L)",1.574
"2014","Essences","Essence 98 RON E5 (€/L)",1.644
"2014","Essences","Essence 98 RON E10 (€/L)",1.623
"2014","Gasoil Diesel routier","Diesel B7 (€/L)",1.415
"2014","Gasoil Diesel routier","Diesel B10 (€/L)",
"2014","Gasoil Diesel routier","Diesel B20 (€/L)",
"2014","Gasoil Diesel routier","Diesel B30 (€/L)",
"2014","Gasoil Diesel routier","Diesel XTL (€/L)",
"2014","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.792
"2014","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.819
"2014","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2014","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2014","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2014","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.596
"2015","Essences","Essence 95 RON E5 (€/L)",1.43
"2015","Essences","Essence 95 RON E10 (€/L)",1.44
"2015","Essences","Essence 98 RON E5 (€/L)",1.497
"2015","Essences","Essence 98 RON E10 (€/L)",1.503
"2015","Gasoil Diesel routier","Diesel B7 (€/L)",1.224
"2015","Gasoil Diesel routier","Diesel B10 (€/L)",
"2015","Gasoil Diesel routier","Diesel B20 (€/L)",
"2015","Gasoil Diesel routier","Diesel B30 (€/L)",
"2015","Gasoil Diesel routier","Diesel XTL (€/L)",
"2015","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.583
"2015","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.61
"2015","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2015","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2015","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2015","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.453
"2016","Essences","Essence 95 RON E5 (€/L)",1.337
"2016","Essences","Essence 95 RON E10 (€/L)",1.349
"2016","Essences","Essence 98 RON E5 (€/L)",1.402
"2016","Essences","Essence 98 RON E10 (€/L)",1.41
"2016","Gasoil Diesel routier","Diesel B7 (€/L)",1.187
"2016","Gasoil Diesel routier","Diesel B10 (€/L)",
"2016","Gasoil Diesel routier","Diesel B20 (€/L)",
"2016","Gasoil Diesel routier","Diesel B30 (€/L)",
"2016","Gasoil Diesel routier","Diesel XTL (€/L)",
"2016","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (à partir de 2000 l) (€/L)",0.483
"2016","Gasoil Diesel (application chauffage)","Gasoil Diesel Chauffage (moins de 2000 l) (€/L)",0.509
"2016","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à partir de 2000 l) (€/L)",
"2016","Gasoil de chauffage","Gasoil chauffage (H0/H7) (moins de 2000 l) (€/L)",
"2016","Gasoil de chauffage","Gasoil chauffage (H0/H7) (à la pompe) (€/L)",
"2016","Butane + LPG","Autogas LPG (à la pompe) (€/L)",0.411
"2017","Essences","Essence 95 RON E5 (€/L)",1.405
"2017","Essences","Essence 95 RON E10 (€/L)",1.424
"2017","Essences","Essence 98 RON E5 (€/L)",1.486
"2017","Essences","Essence 98 RON E10 (€/L)",1.495
"2017","Gasoil Diesel routier","Diesel B7 (€/L)",1.328
"2017","Gasoil Diesel routier","Diesel B10 (€/L)",
"2017","Gasoil Diesel routier","Diesel B20 (€/L)",
